Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Unnamed: 13,address,latitude,longitude
1 - 1 1/2 Storey Shop,Gombak,Pekan Pengkalan Kundang,KAMPONG BARU KUNDANG,JALAN ST 2/2,November 2021,Leasehold,116.00,sq.m,92,sq.m,    ,"RM325,000.00",,JALAN ST 2/2 KAMPONG BARU KUNDANG Pekan Pengkalan Kundang Gombak Malaysia,3.2969,101.5607
1 - 1 1/2 Storey Shop,Gombak,Rawang,TAMAN DESA MAS,JALAN DM 5/1,September 2021,Leasehold,130.06,sq.m,257,sq.m,    ,"RM420,000.00",,JALAN DM 5/1 TAMAN DESA MAS Rawang Gombak Malaysia,3.3663,101.5918
1 - 1 1/2 Storey Shop,Gombak,Rawang,TAMAN DESA MAS,JALAN DM 5/1,October 2025,Leasehold,130.06,sq.m,257,sq.m,    ,"RM620,000.00",,JALAN DM 5/1 TAMAN DESA MAS Rawang Gombak Malaysia,3.3663,101.5918
1 - 1 1/2 Storey Shop,Gombak,Rawang,TAMAN RAWANG,JALAN RAWANG GARDEN,October 2022,Leasehold,148.64,sq.m,137,sq.m,    ,"RM320,000.00",,JALAN RAWANG GARDEN TAMAN RAWANG Rawang Gombak Malaysia,3.3219,101.5762
1 - 1 1/2 Storey Shop,Gombak,Setapak,TAMAN PERWIRA / TMN SETIA GOMBAK,JALAN INTAN,May 2022,Freehold,262.63,sq.m,231,sq.m,    ,"RM1,750,000.00",,JALAN INTAN TAMAN PERWIRA / TMN SETIA GOMBAK Setapak Gombak Malaysia,3.2154,101.7217
1 - 1 1/2 Storey Shop,Hulu Langat,Ampang,BDR BARU Ampang,JLN WAWASAN Ampang 4/4,April 2023,Leasehold,27.00,sq.m,106,sq.m,    ,"RM241,000.00",,JLN WAWASAN Ampang 4/4 BDR BARU Ampang Ampang Hulu Langat Malaysia,3.1295,101.7561
1 - 1 1/2 Storey Shop,Hulu Langat,Ampang,TMN AMPANG JAYA,JLN 1,January 2024,Leasehold,271.73,sq.m,158,sq.m,    ,"RM1,200,000.00",,JLN 1 TMN AMPANG JAYA Ampang Hulu Langat Malaysia,3.1457,101.7637
1 - 1 1/2 Storey Shop,Hulu Langat,Ampang,TMN PANDAN INDAH,JALAN 4/4,May 2023,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,100,000.00",,JALAN 4/4 TMN PANDAN INDAH Ampang Hulu Langat Malaysia,3.1269,101.7492
1 - 1 1/2 Storey Shop,Hulu Langat,Ampang,TMN PANDAN INDAH,JALAN PANDAN INDAH 4/6,August 2022,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,000,000.00",,JALAN PANDAN INDAH 4/6 TMN PANDAN INDAH Ampang Hulu Langat Malaysia,3.1129,101.7442
1 - 1 1/2 Storey Shop,Hulu Langat,Ampang,TMN PANDAN INDAH,JLN PANDAN INDAH 4/4,May 2022,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,015,000.00",,JLN PANDAN INDAH 4/4 TMN PANDAN INDAH Ampang Hulu Langat Malaysia,3.1225,101.7419
1 - 1 1/2 Storey Shop,Hulu Langat,Ampang,TMN PANDAN INDAH,JLN PANDAN INDAH 4/4,July 2022,Leasehold,121.00,sq.m,103,sq.m,    ,"RM980,000.00",,JLN PANDAN INDAH 4/4 TMN PANDAN INDAH Ampang Hulu Langat Malaysia,3.1225,101.7419
1 - 1 1/2 Storey Shop,Hulu Langat,Ampang,TMN PANDAN INDAH,JLN PANDAN INDAH 4/10,August 2025,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,680,000.00",,JLN PANDAN INDAH 4/10 TMN PANDAN INDAH Ampang Hulu Langat Malaysia,3.1389,101.7552
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,BDR BARU AMPANG, JALAN WAWASAN AMPANG 4/6,November 2023,Leasehold,121.00,sq.m,106,sq.m,    ,"RM920,000.00",,JALAN WAWASAN AMPANG 4/6 BDR BARU AMPANG Bandar Ampang Hulu Langat Malaysia,3.1514,101.7626
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,BDR BARU AMPANG,JLN WAWASAN AMPANG 4/4,April 2023,Leasehold,94.00,sq.m,106,sq.m,    ,"RM839,000.00",,JLN WAWASAN AMPANG 4/4 BDR BARU AMPANG Bandar Ampang Hulu Langat Malaysia,3.1507,101.7632
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,BDR BARU AMPANG,JLN WAWASAN AMPANG 4/6,November 2021,Leasehold,121.00,sq.m,106,sq.m,    ,"RM870,000.00",,JLN WAWASAN AMPANG 4/6 BDR BARU AMPANG Bandar Ampang Hulu Langat Malaysia,3.142,101.756
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,BDR BARU AMPANG,JLN WAWASAN AMPANG 4/6,June 2025,Leasehold,121.00,sq.m,106,sq.m,    ,"RM950,000.00",,JLN WAWASAN AMPANG 4/6 BDR BARU AMPANG Bandar Ampang Hulu Langat Malaysia,3.142,101.756
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,KG BARU CINA,JALAN MERDEKA,March 2023,Leasehold,414.00,sq.m,414,sq.m,    ,"RM1,400,000.00",,JALAN MERDEKA KG BARU CINA Bandar Ampang Hulu Langat Malaysia,3.1487,101.7577
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN MEGA JAYA,JALAN MEGA 5,May 2023,Leasehold,132.86,sq.m,190,sq.m,    ,"RM900,000.00",,JALAN MEGA 5 TMN MEGA JAYA Bandar Ampang Hulu Langat Malaysia,3.1335,101.7639
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JALAN PANDAN INDAH 1/18,June 2023,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,200,000.00",,JALAN PANDAN INDAH 1/18 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1265,101.7448
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JALAN PANDAN INDAH 1/22,July 2022,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,150,000.00",,JALAN PANDAN INDAH 1/22 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1032,101.7467
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JALAN PANDAN INDAH 1/22,August 2022,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,300,000.00",,JALAN PANDAN INDAH 1/22 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1032,101.7467
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JALAN PANDAN INDAH 1/23D,June 2024,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,150,000.00",,JALAN PANDAN INDAH 1/23D TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1274,101.7512
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JALAN PANDAN INDAH 4/10,March 2023,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,200,000.00",,JALAN PANDAN INDAH 4/10 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.125,101.747
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JLN PANDAN INDAH 1/18,July 2024,Leasehold,121.00,sq.m,102,sq.m,    ,"RM1,100,000.00",,JLN PANDAN INDAH 1/18 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1306,101.7459
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JLN PANDAN INDAH 1/18,July 2024,Leasehold,121.00,sq.m,103,sq.m,    ,"RM1,100,000.00",,JLN PANDAN INDAH 1/18 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1306,101.7459
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JLN PANDAN INDAH 1/20,October 2021,Leasehold,121.00,sq.m,102,sq.m,    ,"RM850,000.00",,JLN PANDAN INDAH 1/20 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1263,101.7359
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Ampang,TMN PANDAN INDAH,JLN PANDAN INDAH 1/20,October 2024,Leasehold,121.00,sq.m,102,sq.m,    ,"RM1,100,000.00",,JLN PANDAN INDAH 1/20 TMN PANDAN INDAH Bandar Ampang Hulu Langat Malaysia,3.1263,101.7359
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Baru Bangi,SEK 1 BDR BARU BANGI,JLN 1/9G,March 2021,Leasehold,174.00,sq.m,70,sq.m,    ,"RM380,000.00",,JLN 1/9G SEK 1 BDR BARU BANGI Bandar Baru Bangi Hulu Langat Malaysia,3.0478,101.783
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Baru Bangi,SEK 9 BDR BARU BANGI,JLN 9/7,April 2025,Leasehold,139.00,sq.m,93,sq.m,    ,"RM400,000.00",,JLN 9/7 SEK 9 BDR BARU BANGI Bandar Baru Bangi Hulu Langat Malaysia,3.0952,101.7574
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Cheras,TMN CHERAS JAYA,JLN CJ 3/12-3A,August 2022,Leasehold,143.00,sq.m,129,sq.m,    ,"RM400,000.00",,JLN CJ 3/12-3A TMN CHERAS JAYA Bandar Cheras Hulu Langat Malaysia,3.083,101.774
1 - 1 1/2 Storey Shop,Hulu Langat,Bandar Kajang,DESA SRI JENARIS, JALAN JENARIS 3A,May 2024,Freehold,167.00,sq.m,195,sq.m,    ,"RM560,000.00",,JALAN JENARIS 3A DESA SRI JENARIS Bandar Kajang Hulu Langat Malaysia,2.972,101.787
